Name,Website,Social,Office Phone # or email,Address,Area,Organization Mission
"
The Immigrant Justice Network (IJN)
",Home Website,@immjusticenetwork,omerino@ilrc.org,,,"The Immigrant Justice Network is a leading advocacy voice against the criminalization of immigrants in the United States. Grounded in racial justice values, we build power to defend the dignity of all immigrants."
"
United Coalition for Immigrant Services
",Home Website,,"Contact for CRISP and SBLISN: Alison Kamhi, Legal Program Director, ILRC, akamhi@ilrc.org",,Santa Clara and San Mateo Counties,"United Coalition for Immigrant Services is a partnership between two collaboratives, CRISP (Collaborative Resources for Immigrant Services on the Peninsula, established in 2005) and SBLISN (South Bay Legal Immigration Services Network, established in 2009), comprising 16 organizations that provide free and low-cost immigration legal services to children, families, and older adults in Santa Clara and San Mateo Counties."
,,,,,,
"
UC Immigrant Legal Services Center
",Home Website,@ucimmigrantlegalservices,530-752-1011,"University of California, Davis, One Shields Avenue, Davis, CA 95616",All UC campuses,"We serve the immigration-related legal needs of undocumented and immigrant students and their immediate family members, as well as mixed-status families. Operating out of UC Davis School of Law on unceded Patwin land, the program serves students at nine UC campuses: UC Davis, UC Irvine, UCLA, UC Merced, UC Riverside, UC San Diego, UC San Francisco, UC Santa Barbara, and UC Santa Cruz."
"
CLUE Justice - Clergy and Laity United for Economic Justice
",Home Website,@cluejustice,(213) 481-3740,"464 Lucas Ave, Ste 202",LA,"Clergy and Laity United for Economic Justice educates, organizes, and mobilizes the faith community to accompany workers and their families in their struggle for good jobs, dignity, and justice."
"
CHIRLA - Coalition for Humane Immigrant Rights 
",Home Website,@chirla_org,"Immigrant Assistance Referral Line: 888-6-CHIRLA, Legal Assistance 213-201-3797, EMPLEO National Wage Theft Hotline 877-55-AYUDA","2533 West 3rd Street, Suite 101",LA,"The Coalition for Humane Immigrant Rights (CHIRLA) was founded in 1986. CHIRLA is a California leader with national impact made of diverse immigrant families and individuals who act as agents of social change to achieve a world with freedom of mobility, full human rights, and true participatory democracy. CHIRLA’s mission is to achieve a just society fully inclusive of immigrants."
"
Immigration Defenders Law Center
",Home Website,@immdef_lawcenter,info@immdef.org,634 S. Spring St. 10th Fl.,LA,Immigrant Defenders Law Center (ImmDef) is a next-generation social justice law firm that defends our immigrant communities against injustices in the immigration system.
Central America Resource Center,Home Website,@carecen_la,213-385-7800,2845 W 7th St,LA,"Since its founding in 1983, when thousands of Central Americans fled the brutality of civil war, CARECEN has been working to change an unjust immigration system, win legal status for immigrants, and foster community activism on issues such as education reform, workers’ and immigrants’ rights, economic justice and community strengthening."
"
Immigration Advocates Network
",Home Website,https://www.facebook.com/immigrationadvocates,,,,Harnessing the power of technology and collaboration to support immigrants and their allies.
"
Raíces Con Voz: Latinos In Public Health
",https://www.instagram.com/raicesconvozph#,@raicesconvozph,,,,"Latino-led public health advocates, Student & volunteer-powered, 'Our stories lead. Our voices rise.'"
"
KTOWN FOR ALL
",https://www.instagram.com/ktownforall/#,@ktownforall ,,,,"An all-volunteer homeless outreach and advocacy organization in Koreatown, Los Angeles."
"
CARWASHERXS
",https://www.cleancarwash.org/,@carwasherxs ,(323) 840-3311,,,"Founded in 2007, CLEAN Carwash Worker Center has 15 years of experience building carwasherx power and leadership. As the first carwash worker center in Los Angeles, and the country, CLEAN fights to shed light on the exploitative carwash industry and center those at the heart of these operations - the carwasherxs."
"
Mutual Aid Network Los Angeles
",https://mutualaidla.org/,@mutualaidlanetwork,,,,"Mutual Aid LA Network (MALAN) is a connector and information hub for mutual aid efforts, people and resources across Los Angeles. We’re building toward abolition and believe in an abundant world that can be freed of oppression through community solidarity."
"
Organized Power in Numbers
",https://powerinnumbers.us/,@opinorg,,,,We supercharge change efforts in the South and Southwest and level up campaigns that reach millions to win for workers everywhere.
"
Aquí Para La Comunidad
",https://www.instagram.com/aquiparalacomunidad/#,@Aquiparalacomunidad,323-426-2823,,LA County,"Delivering our communities groceries, LA County Based + expanding to other regions in Southern CA!"
"
Border Angels LA-OC
",https://www.borderangels.org/,@borderangelsofficial,(619) 487-0249,"2258 Island Ave, San Diego CA 92102",Southern California,"Border Angels is a nonprofit organization that advocates for human rights, humane immigration reform, and social justice with a special focus on issues related to the US-Mexican border."
"
Community Justice Exchange
",https://www.communityjusticeexchange.org/,,info@communityjusticeexchange.org,,,"The Community Justice Exchange is a national hub for developing, sharing, and experimenting with tactical interventions, strategic organizing practices, and innovative organizing tools toward prison industrial complex abolition. We provide support to community-based organizations that are experimenting with bottom-up, power-building interventions in the criminal legal and immigration detention systems."
"
ACLU Southern California
",https://www.aclusocal.org/,@aclu_socal,213-977-9500,,Southern California,"A nonprofit, nonpartisan, legal and advocacy 501(c)(4) organization that defends rights for all. ✊🏾✊🏿✊🏼"
"
Unión del Barrio
",https://uniondelbarrio.org/main/,@uniondelbarrio,213/444-6562,info_la@uniondelbarrio.org,LA,"Unión del Barrio is an independent political organization operating with a volunteer membership base and entirely self-financed through membership dues, community contributions, and local fundraising. We have dedicated ourselves to struggle on behalf of “la raza” living within the current borders of the United States."
"
NDLON - National Day Laborer Organizing Network
",https://ndlon.org/,@daylaborernetwork,(626) 799-3566,"1030 S Arroyo Pkwy, Ste 106, Pasadena, CA 91105",LA County,"NDLON improves the lives of day laborers, migrants and low-wage workers. We build leadership and power among those facing injustice so they can challenge inequality and expand labor, civil and political rights for all."
"
LATU - Los Angeles Tenants Union
",https://latenantsunion.org/en/,@latenants,info@latenantsunion.org,,LA,"The LA Tenants Union is a diverse, tenant-led movement fighting for the human right to housing for all. We demand safe, affordable housing and universal rent control. We organize against landlord harassment, mass evictions, and displacement. We mobilize for the repeal of the Ellis Act and Costa-Hawkins Act. Our mission is to strengthen tenants’ political power through education, advocacy, and direct action. The LA Tenants Union is an autonomous housing movement funded primarily by its members. Our union work is organized through our local chapters. To get involved in the union, start attending the meetings of the local chapter nearest you."
"
Immigrant Defense Project
",https://www.immigrantdefenseproject.org/,@immdefense,(212) 725-6422,info@immdefense.org,USA,Working to secure fairness and justice for immigrants in the United States
"
PSL LA - Party for Socialism and Liberation
",https://pslweb.org/,@psl_losangeles,,,,We are the LA branch of the Party for Socialism and Liberation!
"
Jail Support LA
",https://www.instagram.com/jailsupportla/?hl=en#,@jailsupportla,424-610-3020,,,We’re a grassroots collective dedicated to supporting anti-repression work in Los Angeles ❤️‍🔥
"
LA Voice
",https://www.lavoice.org/,@la_voice,(213) 384-7404,contact@lavoice.org,,Multifaith multiracial org awakening people to their own power across LA County for equity & abundance for all. Member @picocalifornia & @fianational
PICO California,https://picocalifornia.org/,@picocalifornia,916-447-7959,PO Box 33334,,"Grassroots movements dedicated to bending the moral arc of history towards justice have been historically animated by faith and spiritual values, with people of faith having been at the center of some of America’s most consequential fights for social justice, from the abolition of slavery to the fight for civil rights to the present-day struggles against systemic racism and worsening economic inequality. Faith institutions are also some of the only remaining places in civil society where people can come together across race, class, and ideology to advance a vision that is broader than themselves, which we believe is critical to achieve real change for the most vulnerable Californians."
"
Calfornia Immigrant Policy Center
",https://caimmigrant.org/,@caimmigrant,info@caimmigrant.org,,,"The California Immigrant Policy Center (CIPC) is a leading statewide immigrant rights organization that advocates for policies that protect and advance the rights of immigrants and their families throughout California. CIPC combines policy advocacy, strategic communications, statewide organizing, and regional coalition capacity building to pursue its mission of advocating for policies that uphold the humanity of immigrants while advancing racial, social, and economic justice."
"
The Revolutionary Love Project
",https://revolutionarylove.org/,@revloveproject,,,,"The Revolutionary Love Project inspires and equips people with tools to practice the ethic of love. We teach core practices of Revolutionary Love, backed by research and infused with ancestral wisdom."
"
Proyecto Pastoral
",https://www.proyectopastoral.org/,@proyectopastoral,(323) 881-0018,"135 N. Mission Rd. Los Angeles, CA 90033",,"Proyecto Pastoral’s mission is to empower the community of Boyle Heights through grassroots projects in education, leadership, and service."
"
Detention Watch
",https://www.detentionwatchnetwork.org/,@detentionwatch,,"1730 Rhode Island Ave NW, Suite 711, Washington, DC 20036",,"Detention Watch Network (DWN) is a national coalition building power through collective advocacy, grassroots organizing, and strategic communications to abolish immigration detention in the United States."
"
No Sleep For ICE
",https://www.instagram.com/no.sleep.for.ice/#,@no.sleep.for.ice,,,,protest ICE residing at LA County hotels
"
South Central Unidos
",https://southcentralunited.com/home,@southcentralfarm,,,,"""Cultivating community resilience and empowerment, South Central United is dedicated to addressing critical needs and fostering positive change. Through innovative programs and collaborative initiatives, we strive to uplift individuals and families, ensuring access to essential resources and opportunities for growth. Our mission is to create a thriving, inclusive community where every member has the support and resources needed to flourish."""
"
Asian Youth Collective
",https://www.instagram.com/asian_youthcollective/?hl=en#,@asian_youthcollective,,,,A collective of anti-imperialist Asian and BIPOC youth fighting for the liberation of our homelands and all oppressed and working people.
"
SFV Mutual Aid
",https://www.instagram.com/sfv_mutualaid/?hl=en#,@sfv_mutualaid,,,,Meal distribution for our unhoused neighbors in North Hollywood and Van Nuys. We meet every Saturday at 1pm. DM for details.
