Source Name,Link,Area,Identification,Enforcement Agencies,Practice,Description
lataco,https://www.instagram.com/reel/DKsa5w3zdEq/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,LA County,video,"CBP 
ICE",ICE Staging,CBP and ICE using customs building on La Cienega and 111th as staging area
Quadzilla Hikes,"https://www.ice.gov/identify-and-arrest/287g

https://www.instagram.com/reel/DJ7m4qOsNaa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",USA,ICE website,ICE etc.,Legalization of warrantless arrests by ICE and ICE-contracted agents,Legalization of warrantless arrests by ICE and ICE-contracted agents
lataco,https://www.instagram.com/reel/DKyEC-FJxR8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,USA,,ICE,Observed ICE tactics so far,@theglutster breaks down ICE tactics we’ve been noticing lately.
uniondelbarrio,https://www.instagram.com/uniondelbarrio/,LA County,,,ICE Raid Reporting,updates via stories on ICE sightings
LA Public Press,https://www.instagram.com/p/DKz3mccsAOM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,LA County,,,ICE Staging,"LAPD deploying approximately 300 vehicles to Exposition Park starting today, according to internal emails obtained by LA Public Press. The Natural History Museum notified staff that LAPD will use the park's Pink and Yellow parking lots ""to stage vehicles and to check in their personnel"" through early next week, per a message from Exposition Park Management.The museum's email to employees acknowledged the ""visible presence may raise questions or concerns"" and reminded staff that ""LAPD is prohibited from engaging in immigration enforcement activities.""Two LAPD public information officers told us they have no information about the operation. One officer noted that ""doesn't mean it's not coming down the pipe,"" just that they haven't received any information on it as of yet.The nature of the operation requiring 300+ police vehicles was not specified in the communications. Exposition Park houses the California Science Center, Natural History Museum, and is adjacent to USC. The park is managed by the state of California."
carwasherxs,https://www.instagram.com/p/DKs_VYipjri/?utm_source=ig_web_copy_link,LA County,,,ICE Raid Reporting,Confirmation of carwash site raids
mutualaidnetwork,https://www.instagram.com/p/DLX_-3ISy7g/?img_index=1,LA County,,,ICE Raid Reporting,weekly raid reports
ACLU Northern California,https://www.aclunc.org/CA_database?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExbUpqVnU0bk9XaEFNMFJiUAEeByokI3tyOSi09shKu4vW1tLyCFM1ovmuLTQ-5obAqdlOgy6lhAfH7x0S6L8_aem_Msv1TfjURHnNkEFu5IR7bA,CA,Immigration Detention Centers,ICE,Detention Center Grievance Tracking,"The California Immigration Detention Database tracks formal complaints, also known as grievances, that people detained in California's immigration detention facilities have filed to seek redress against the inhumane conditions of their confinement."
Caló News,https://www.instagram.com/p/DLc7zL0phhI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Huntington Park,Border Patrol,HPPD,Arresting ICE Allied Agency Impersonators,"On Tuesday night, Huntington Park police arrested a man who was impersonating a Border Patrol agent, immediately raising concern as many people have pointed out that some people posing as immigration agents are in fact bounty hunters and impersonators of federal agencies. A day later, the City of Huntington Park unanimously approved a resolution to verify federal agents’ identity when they are operating in the community."
404,https://www.404media.co/ice-is-using-a-new-facial-recognition-app-to-identify-people-leaked-emails-show/,USA,ICE,ICE,Facial Recognition Mobile App,"ICE Is Using a New Facial Recognition App to Identify People, Leaked Emails Show"
,,,,,,
Union del Barrio,https://www.instagram.com/p/DL0PI1RBdVc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,MacArthur Park LA,,"NG, ICE, LAPD",,call to show up against deployment
