Headline,Source Name,Link,Details
GEO Group makes money off of Detention centers,@perfectunion,https://www.instagram.com/reel/DKsCGkSOvJb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"GEO Group, one of the two biggest private detention corporations in America, is ICE’s top contractor — it was just awarded a 15-year contract with ICE.Pam Bondi, Trump’s Attorney General, used to lobby for GEO Group. And its CEO said his company could make $400 million more every year under Trump’s ramped up ICE agenda."
Normalization of Authoritarian Oppression,NYTimes,https://www.instagram.com/reel/DKw9SpNxC6x/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Masha Gessen, a journalist and expert on authoritarianism, warns that “the most dangerous phase” in the decline of democracy is normalization. This is the stage when repeated violations of democratic norms—actions that once shocked us—become part of everyday life. According to Gessen, normalization dulls our outrage and lowers our expectations, making it easier for undemocratic behavior to continue unchecked. Gessen explains that, over time, society adapts to each new breach of democratic standards. What was once unthinkable becomes routine, and people adjust their behavior and expectations. This process allows autocratic leaders to consolidate power, as fewer people remain willing to resist or speak out. To counter normalization, Gessen urges us to remain vigilant: keep recognizing and naming undemocratic actions, and don’t let our standards slip. As she writes, “life moved forward, and the shocking occurrences became entrenched in our reality.” We must not let the unacceptable become our new normal."
ICE is looking for a new detention center in Blue California. The state probably can’t stop it,Cal Matters,https://calmatters.org/justice/2024/12/ice-detention-center-plan-northern-california/?utm_source=chatgpt.com,A possible migrant detention facility within two hours of San Francisco has some lawmakers concerned.
Summary from journalist of old documentary on Trump's enslaving migrant workers at his hotel in Dubai using debt bondage. Full documentary linked.,"Vice, 
HBO","https://www.instagram.com/reel/DIprwVFJyvi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==

https://www.youtube.com/watch?v=UBBkjmMlb9U",
These 75 House Democrats Voted to Thank ICE and they all have elections in 2026,@genzforchange,https://www.instagram.com/p/DKz4SVKyKrn/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
LA Comptroller Accounting City costs to protests in response to the violent ICE raids and militarization of our city,@lacontroller,https://www.instagram.com/p/DKzzR-3JwgW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
13 people Arrested for protested Palantir,@perfectunion,https://www.instagram.com/reel/DK-bT2Munca/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"“If we do not stand up to Peter Thiel, they’re going to come after all of us.” 13 people in LA were arrested for protesting Palantir. The protesters were rejecting the algorithms that surveil and track Americans, and let billionaires profit from ICE raids."
"‼️UPDATE: The City of LA has spent $19.7 MILLION so far in response to the June protests against ICE. This spans a week-and-a-half thru June 16, 2025. (These do not include potential lawsuits or liability claims)",@lacontroller,https://www.instagram.com/reel/DK_JaqGuihJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,LA City Controller reports on costs of June ICE Protests to CIty of LA
"Feed it bodies, watch it churn gold. Who's banking on ICE kidnapings?",@consciousobservers,https://www.instagram.com/p/DLV8O80yyQ4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Trump is using ICE to increase prison bed capacity by up to 360%. Private prison companies CorceCivic and GEO Group call it an ""unprecedented opportunity?"" as their stock prices skyrocket"
"Supreme Court hands Trump major win, limits judges’ ability to block birthright citizenship order nationwide",Politico,https://www.politico.com/live-updates/2025/06/27/supreme-court-rulings-decisions-today-news-analysis/birthright-citizenship-nationwide-injunctions-00428839,The justices did not definitively resolve the legality of the executive order.
DOJ Sues LA over Sanctuary City Policies. Explainer,LA Taco,https://www.instagram.com/reel/DLi7WR0vL7h/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,The Department of Justice sues L.A. claiming its Sanctuary City Policies are hindering the Trump regime from liberating Los Angeles from immigrants. But what exactly are the sanctuary city policies and how do they protect immigrants from the federal government? ~ @el_tragon_de_los_angeles breaks it down.
Hilda Solis pushes back against federal immigration raids,LAist,https://www.instagram.com/reel/DLi98DfhVy_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"L.A. County Supervisor Hilda Solis says she's introducing a motion this week directing County lawyers to explore legal action against unconstitutional immigration enforcement practices, including illegal search and seizure."
