"
NOTICE: This is a community record of protest actions past, present, and future. 
This is not an endorsement of any organizations involved in the protest actions.
This intention of this list is to document, preserve, and share awareness.

If for your own reasons you choose to attend any of these, please keep your 
love for your neighbors and family in mind, prepare, act, and lead accordingly.
",,,,,,
Date,Time,Name,Link,Organization,Location,Purpose
6/6/25,4:00:00 PM,STARVATION & NEGLECT ARE TORTURE! STOP THE DEPORTATIONS! NO MORE INHUMANE DETENTIONS!,https://www.instagram.com/reel/DKiwscixaIA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,PSL LA,300 N Los Angeles St.,"Maria Valeriano Pérez, a beloved Ventura County mother of three was forcibly taken by ICE during a routine immigration check-in this week. Detained with other women, she endured horrific conditions: denied showers, clean clothes, and adequate food. A diabetic, Maria was deprived of enough food to safely take her medication, risking her health. Though now deported to Tijuana, the abuse she and others suffered must end."
6/9/25,11:00:00 AM,Student Walkout,https://www.instagram.com/p/DKqlPGoOwrW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,PSL LA,300 North Los Angeles,Protest ICE Raids
6/9/25,8:00:00 AM,Jail Support LA,https://www.instagram.com/p/DKruBt3xOiS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Jail Support LA,7600 S Broadway,supporting arrested protestors connect to legal aid after release
6/15/25,10:00:00 AM,South central Demands: ICE OUT OF LA,https://www.instagram.com/p/DKzz_y6P1F5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Roofers & Waterproofers, 
California Faculty Association, 
Coalition for Community Control Over the Police, 
South Central Unidos, 
Youth Justice Coalition, 
CAT-911.org",Florence & Normandie,"Military out of LA
Drop Charges against Protestors
City Accountability for Police Brutality"
7/1/25,4:00:00 PM,Eastside Reclaim Our Streets,#FreeEmma,,Mariachi Plaza,"Join us in rallying for the freedom of our loved ones and neighbors who have been kidnapped by ICE. You'll hear from family members of Emma de Paz, street vendor who is detained and in critical need of medical attention, and eastside students who have been impacted by this terror."
