Date,Time,Name,Link,Organization,Area,State Purpose
6/10/25,6:00:00 PM,Interfaith Prayer Vigil,https://www.instagram.com/p/DKtGzHeR5J7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"LA Voice, 
PICO California, 
California Immigrant Policy Center, 
The Revolutionary Love Project, 
CLUE Justice, 
Proyecto Pastoral, 
Carecen, 
CHIRLA","200 N Grand Ave., Los Angeles, CA",Gather in prayer and reflection and stand in solidarity with our immigrant neighbors
6/13/25,12:00:00 PM,Community Care and Mobilization,https://www.instagram.com/p/DKyXS5Pu-4V/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Mariscos Marias, 
Midcity Mercado, 
Persona the shop",5640 W Adams Blvd,"We are devastated to see what is happening in our communities. We believe in the power of unity & we’re grateful to gather forces to offer a day of healing, wellness support & preparation for protests on Saturday. This is a completely free, open to all event taking place Friday from 12pm-7pm • please review the itinerary to plan accordingly! 🫂"
6/12/25,,"Another Life Lost to Immigration Detention - Remembering Jesus Molina-Veya, 45",https://www.instagram.com/p/DKzh4k1ABvL/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Detention Watch,,"Jesus Molina-Veya’s death is a tragedy. In immigration detention, deprivation of freedom, isolation, uncertainty, and abysmal conditions, including inadequate medical care and mental health services, are a lethal combination that puts lives in jeopardy. What we’re seeing now in detention centers, which are inherently inhumane, is a heightened degree of cruelty as Trump will stop at nothing to dehumanize and vilify immigrants."
6/18/25,6:00:00 PM,Interfaith Prayer Walk for Family Unity,https://www.instagram.com/p/DK-gRbIzf6_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"LA Voice, 
PICO California, 
California Immigrant Policy Center, 
The Revolutionary Love Project, 
CLUE Justice, 
Proyecto Pastoral, 
Carecen, 
CHIRLA",535 N Main St.,"Last week, after our fired up interfaith vigil with @valariekaur @rabbisusan @fathergboyle @revjuju @sharonbrous and dozens of other amazing faith leaders of LA County, we promised that we would continue our steady loving confrontation of the #marines #nationalguard and militarized #ICE agents who have attacked our communities and stoked fear in Angelenos’ hearts, regardless of immigration status. This is a severe overreach and misuse of power, and as people of faith we have a moral mandate to stop this practice from becoming policy."
6/19/25,10:00:00 AM,30 Days of Action: Summer of Resistance,https://www.instagram.com/p/DLFnuNDxYOQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@summerofresistance,Placita Olvera,"The art of resistance is alive today — in sound, image, and action. 🥁 We’re gathering in Black and Brown unity, moving through the day with music, memory, and collective power. Closing out will be a march to the Federal Building led by live bands"
6/25/25,7:30:00 PM,Vigil,https://www.instagram.com/p/DLSp2-ep04O/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,LA Voice,Zocalo Park,"WE ARE COUNTYWIDE!! Join us TOMORROW for a #prayervigil and #caminata in Baldwin Park after the horrific #ICE raids in the region. Walking as public witness we will CONTINUE to unite in prayer, nonviolence and unwavering solidarity with our immigrant neighbors."
7/2/25,6:00:00 PM,Interfaith Prayer Walk for Family Unity,https://www.instagram.com/p/DLaxLBWTaeC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"LA Voice, 
PICO California",535 N Main St.,"We’re gonna keep walkin’, keep on talkin’ marching until we get #iceoutofla 🧊 Join us at @placitaolvera on Wednesday 7/2 and let’s tell ICE that the most American thing they can do this #fourthofjulyweekend is to stop attacking our county and our immigrant neighbors!"
,,,,,,
7/8/25,12:00:00 PM,Prayer Vigil for those who have been disappeared by ICE,https://www.instagram.com/p/DL0G0x7sc4B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Sacred Resistance, NEFESH, SEIU Local 721, CHIRLA",300 N Los Angeles,"Women of faith have been gathering weekly in Orange County and Los Angeles to pray for the return of family members who have been detained or deported. We invite people of all genders to accompany them and hold our disappeared community members in prayer. We are hurting along with them, and we have their backs.This week's vigils will take place on Tuesday 7/8 in Los Angeles, and Thursday 7/10 in Orange County. Please see flyers for details and to RSVP."
7/10/25,11:30 AM,Prayer Vigil,https://www.instagram.com/p/DL0HFfUhNDB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Sacred Resistance, CLUE, St. Joseph Justice Center, The Bridge",location provided upon RSVP,"Women of faith have been gathering weekly in Orange County and Los Angeles to pray for the return of family members who have been detained or deported. We invite people of all genders to accompany them and hold our disappeared community members in prayer. We are hurting along with them, and we have their backs.This week's vigils will take place on Tuesday 7/8 in Los Angeles, and Thursday 7/10 in Orange County. Please see flyers for details and to RSVP."
