Date,Time,Name,Link,Organization,Location,Purpose
6/6/25,4:00:00 PM,STARVATION & NEGLECT ARE TORTURE! STOP THE DEPORTATIONS! NO MORE INHUMANE DETENTIONS!,https://www.instagram.com/reel/DKiwscixaIA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,PSL LA,300 N Los Angeles St.,"Maria Valeriano Pérez, a beloved Ventura County mother of three was forcibly taken by ICE during a routine immigration check-in this week. Detained with other women, she endured horrific conditions: denied showers, clean clothes, and adequate food. A diabetic, Maria was deprived of enough food to safely take her medication, risking her health. Though now deported to Tijuana, the abuse she and others suffered must end."
6/9/25,11:00:00 AM,Student Walkout,https://www.instagram.com/p/DKqlPGoOwrW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,PSL LA,300 North Los Angeles,Protest ICE Raids
6/9/25,8:00:00 AM,Jail Support LA,https://www.instagram.com/p/DKruBt3xOiS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Jail Support LA,7600 S Broadway,supporting arrested protestors connect to legal aid after release
6/17/25,6:00:00 PM,General Meeting for LA-CAN,https://www.instagram.com/p/DK97upfpZZP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Stop LAPD Spying,838 E 6th St.,
6/20/25,1:00:00 PM,NDLON Rapid Response Workshop,https://www.instagram.com/p/DLEJnOGpsTA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,NDLON,online,"This coming Friday we will have a #rapidresponse workshop, a frontline essential tool for defending our community in this moment of crisis. We hope you can join us on Friday. If you are adopting a corner- we hope to see you there!"
6/30/25,3:00:00 PM,How to Handle ICE enforcement at work in this Boyle Heights workshop,https://www.instagram.com/p/DLasWWLJGBf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Boyle Heights Beat,,"In response to growing concerns about immigration enforcement across Los Angeles, the Independent Hospitality Coalition (@ihclaorg) is partnering with the Boyle Heights Chamber of Commerce (@boyleheights_chamber) to host a business readiness workshop aimed at educating businesses on how to protect their staff and customers during potential ICE raids. The free workshop, scheduled for Monday, June 30, in Boyle Heights, will provide vital information on business owners’ legal rights and practical strategies for responding to immigration enforcement in the workplace.

The event will be open to a wide range of business operators, including brick-and-mortar establishments, food trucks and street vendors.

Spanish interpretation will be available.
"
7/1/25,8:00:00 AM,STOP ICE Community Defense Center,https://www.instagram.com/p/DLjF6jkxMkl/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,LATU,Santee Alley,"‼️We’ve established a center to support patrols in DTLA in conjunction with @latenant! Come support and fight to protect our DTLA shops, vendors and community!"
,,,,,,
7/5/25,2:00:00 PM,NDLON Adopt A Corner Northeast Region,https://us02web.zoom.us/webinar/register/WN_BzfFENgHS0KXUgLCaBBIAA#/registration,,,Training on how to adopt a corner in defense of day laborers
7/15/25,6:00 PM,Join Court Watch LA,https://www.instagram.com/p/DL0BR2cR-1W/?utm_source=ig_web_copy_link,National Lawyers Guild,,NLG LA and @jailsupportla are deeply grateful to our partner @courtwatchla in supporting those who have been arrested protesting ICE raids in Los Angeles. Court Watch LA volunteers have been at every court date assisting arrestees & monitoring the criminal cases that have been filed so they we can continue to offer solidarity to protesters who are facing prosecution. If you would like to volunteer with Court Watch LA their next training is July 15th at 6 pm. Register at the link in our bio.
,,,,,,
7/9/2025,6:00:00 PM,Community Self-Defense Volunteer Training,https://www.instagram.com/p/DLy6zsvODMX/?utm_source=ig_web_copy_link,Orange County Community Self Defense,"Garden Grove, address shared after sign up","RSVP here: https://docs.google.com/forms/d/1f6ucVBmH79eK5ORwOTX-eJD5a4Q-CjGJ4-tNfDZ_bOc/viewform?edit_requested=true

OCCSDC will be hosting our THIRD volunteer training THIS Wednesday! If you couldn't make it to Saturday's emergency mobilization and volunteer training, come out this week and get oriented on how we’ll keep each other safe and patrol protocols. Volunteer training is required for all interested folks to begin patrols/outreach.

Thank you to all of our volunteers and support from the community! We need YOU!

For organizations interested in signing onto the Coalition as a member organization, reach out to us for more details!

Calling all Central OC residents!
‼️WHERE: RSVP for location
‼️WHEN: July 9th, Wednesday 6-8PM
‼️WHO: anyone interested with capacity to help out on weekly patrol shifts. No car is needed!
‼️WHY: sólo el pueblo salva el pueblo! Chúng ta phải tự bảo vệ mình! ICE OUT OF OC 🍊"
7/7/2025,12:00:00 PM,The Valley Fights For Immigrant Rights! KYR Outreach Volunteer Sessions,https://www.instagram.com/p/DLz9MmSxPlU/?utm_source=ig_web_copy_link,"PSL SFV, PSL Los Angeles",North Hollywood Metro Station,"With continued ICE presence in the Valley, our efforts on the ground can play a critical role in preventing arrests! Join us this week as we hit the streets to do some preemptive Know Your Rights outreach."
7/8/2025,5:00:00 PM,The Valley Fights For Immigrant Rights! KYR Outreach Volunteer Sessions,https://www.instagram.com/p/DLz9MmSxPlU/?utm_source=ig_web_copy_link,"PSL SFV, PSL Los Angeles","Ritchie Valens Recreation Center, 10736 Laurel Canyon Blvs, Pacoima","With continued ICE presence in the Valley, our efforts on the ground can play a critical role in preventing arrests! Join us this week as we hit the streets to do some preemptive Know Your Rights outreach."
7/10/2025,5:00:00 PM,The Valley Fights For Immigrant Rights! KYR Outreach Volunteer Sessions,https://www.instagram.com/p/DLz9MmSxPlU/?utm_source=ig_web_copy_link,"PSL SFV, PSL Los Angeles","Home Depot, 16800 Roscoe Blvs, Van Nuys","With continued ICE presence in the Valley, our efforts on the ground can play a critical role in preventing arrests! Join us this week as we hit the streets to do some preemptive Know Your Rights outreach."
,,,,,,
7/10/2025,5:00:00 PM,Non-Violent Direct Action Training,https://www.instagram.com/p/DL2oVsSPys8/?utm_source=ig_web_copy_link,"DSA, Los Angeled County Federation of Labor",Los Angeles Convention Center,"Join us on Thursday, July 10th from 5pm to 8pm at the LA Convention Center, for the largest Non-Violent Direct Action Training yet hosted by the Los Angeles County Federation of Labor! Whether you’re new to activism & organizing or just looking to improve your skills in this era of resistance to Trump and fascism, this will be a space to build courage, clarity, and community. ▶️ You must RSVP to attend: dsa.la/LAfedtraining"
7/11/2025,1:00:00 PM,The Valley Fights For Immigrant Rights! KYR Outreach Volunteer Sessions,https://www.instagram.com/p/DLz9MmSxPlU/?utm_source=ig_web_copy_link,"PSL SFV, PSL Los Angeles","Vallarta Supermarket, 8453 Reseda Blvd, Northridge","With continued ICE presence in the Valley, our efforts on the ground can play a critical role in preventing arrests! Join us this week as we hit the streets to do some preemptive Know Your Rights outreach."
