Name,website,social,Office Phone # or email,Address,Area,Organization Mission
La Red de Justicia para los Inmigrantes (IJN),https://immigrantjusticenetwork.org/,,omerino@ilrc.org,,,"La Red de Justicia para los Inmigrantes es una voz líder en la defensa contra la criminalización de los inmigrantes en los Estados Unidos. Basándonos en los valores de la justicia racial, construimos poder para defender la dignidad de todos los inmigrantes."
Coalición Unida para los Servicios a los Inmigrantes,https://www.united-coalition.org/,,"Contacto para CRISP y SBLISN: Alison Kamhi, directora del programa jurídico, ILRC, akamhi@ilrc.org",,Condados de Santa Clara y San Mateo,"La Coalición Unida para los Servicios a los Inmigrantes es una asociación entre dos colaboraciones, CRISP (Recursos Colaborativos para los Servicios a los Inmigrantes en la Península, establecida en 2005) y SBLISN (Red de Servicios Legales de Inmigración de South Bay, establecida en 2009), que comprende 16 organizaciones que prestan servicios legales de inmigración gratuitos y de bajo costo a niños, familias y adultos mayores en los condados de Santa Clara y San Mateo."
UC Immigrant Legal Services Center,https://ucimm.law.ucdavis.edu/,@ucimmigrantlegalservices,530-752-1011,"University of California, Davis, One Shields Avenue, Davis, CA 95616",All UC campuses,"Atendemos las necesidades legales relacionadas con la inmigración de los estudiantes indocumentados e inmigrantes y sus familiares directos, así como de las familias con estatus mixto. Con sede en la Facultad de Derecho de la Universidad de California en Davis, en tierras no cedidas de los patwin, el programa atiende a estudiantes de nueve campus de la Universidad de California: UC Davis, UC Irvine, UCLA, UC Merced, UC Riverside, UC San Diego, UC San Francisco, UC Santa Bárbara y UC Santa Cruz."
CLUE Justice - Clergy and Laity United for Economic Justice,https://www.cluejustice.org/,@cluejustice,(213) 481-3740,"464 Lucas Ave, Ste 202",LA,"El Clero y los Laicos Unidos por la Justicia Económica educa, organiza y moviliza a la comunidad religiosa para acompañar a los trabajadores y sus familias en su lucha por buenos empleos, dignidad y justicia."
CHIRLA - Coalition for Humane Immigrant Rights ,https://www.chirla.org/,@chirla_org,"Immigrant Assistance Referral Line: 888-6-CHIRLA, Legal Assistance 213-201-3797, EMPLEO National Wage Theft Hotline 877-55-AYUDA","2533 West 3rd Street, Suite 101",LA,"La Coalición por los Derechos Humanos de los Inmigrantes (CHIRLA) fue fundada en 1986. CHIRLA es una organización líder en California con impacto nacional, formada por diversas familias e individuos inmigrantes que actúan como agentes de cambio social para lograr un mundo con libertad de movilidad, plenos derechos humanos y una verdadera democracia participativa. La misión de CHIRLA es lograr una sociedad justa que incluya plenamente a los inmigrantes."
Immigration Defenders Law Center,https://www.immdef.org/,@immdef_lawcenter,info@immdef.org,634 S. Spring St. 10th Fl.,LA,El Centro Legal para la Defensa de los Inmigrantes (ImmDef) es un bufete de abogados de justicia social de nueva generación que defiende a nuestras comunidades de inmigrantes contra las injusticias del sistema de inmigración.
Central America Resource Center,https://www.carecen-la.org/,@carecen_la,213-385-7800,2845 W 7th St,LA,"Desde su fundación en 1983, cuando miles de centroamericanos huyeron de la brutalidad de la guerra civil, CARECEN ha trabajado para cambiar un sistema migratorio injusto, conseguir la regularización de los inmigrantes y fomentar el activismo comunitario en temas como la reforma educativa, los derechos de los trabajadores y los inmigrantes, la justicia económica y el fortalecimiento de la comunidad."
Immigration Advocates Network,https://www.immigrationadvocates.org/,https://www.facebook.com/immigrationadvocates,,,,Aprovechar el poder de la tecnología y la colaboración para apoyar a los inmigrantes y sus aliados.
Raíces ConVoz: Latinos In Public Health,https://www.instagram.com/raicesconvozph#,@raicesconvozph,,,,"Defensores de la salud pública liderados por latinos, impulsados por estudiantes y voluntarios: «Nuestras historias lideran. Nuestras voces se alzan»."
KTOWN FOR ALL,https://www.instagram.com/ktownforall/#,@ktownforall ,,,,"Una organización de voluntarios dedicada a la asistencia y defensa de las personas sin hogar en Koreatown, Los Ángeles."
