Headline,Source Name,Link,Details
El Grupo GEO gana dinero con los centros de detención.,@perfectunion,https://www.instagram.com/reel/DKsCGkSOvJb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"GEO Group, una de las dos mayores empresas privadas de detención de Estados Unidos, es el principal contratista del ICE (Servicio de Inmigración y Control de Aduanas) y acaba de obtener un contrato de 15 años con esta agencia. Pam Bondi, fiscal general de Trump, solía ejercer presión a favor de GEO Group. Y su director ejecutivo afirmó que su empresa podría ganar 400 millones de dólares más al año gracias a la intensificación de la agenda del ICE bajo el mandato de Trump."
Normalización de la opresión autoritaria.,NYTimes,https://www.instagram.com/reel/DKw9SpNxC6x/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Masha Gessen, periodista y experta en autoritarismo, advierte que «la fase más peligrosa» del declive de la democracia es la normalización. Se trata de la etapa en la que las violaciones repetidas de las normas democráticas —acciones que antes nos escandalizaban— se convierten en parte de la vida cotidiana. Según Gessen, la normalización atenúa nuestra indignación y reduce nuestras expectativas, lo que facilita que el comportamiento antidemocrático continúe sin control. Gessen explica que, con el tiempo, la sociedad se adapta a cada nueva violación de las normas democráticas. Lo que antes era impensable se convierte en rutina, y las personas ajustan su comportamiento y sus expectativas. Este proceso permite a los líderes autocráticos consolidar su poder, ya que cada vez menos personas están dispuestas a resistir o a alzar la voz. Para contrarrestar la normalización, Gessen nos insta a permanecer alerta: seguir reconociendo y denunciando las acciones antidemocráticas, y no bajar nuestros estándares. Como ella escribe, «la vida siguió adelante y los acontecimientos impactantes se afianzaron en nuestra realidad». No debemos permitir que lo inaceptable se convierta en nuestra nueva normalidad."
"El ICE está buscando un nuevo centro de detención en Blue California. Probablemente, el estado no pueda impedirlo.",Cal Matters,https://calmatters.org/justice/2024/12/ice-detention-center-plan-northern-california/?utm_source=chatgpt.com,La posible construcción de un centro de detención de inmigrantes a menos de dos horas de San Francisco preocupa a algunos legisladores.
Resumen de un periodista sobre un antiguo documental en el que se muestra cómo Trump esclavizó a trabajadores migrantes en su hotel de Dubái mediante la servidumbre por deudas. Enlace al documental completo.,"Vice
HBO","https://www.instagram.com/reel/DIprwVFJyvi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==

https://www.youtube.com/watch?v=UBBkjmMlb9U",
Estos 75 demócratas de la Cámara de Representantes votaron a favor de dar las gracias al ICE y todos ellos se presentan a las elecciones de 2026.,@genzforchange,https://www.instagram.com/p/DKz4SVKyKrn/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
El contralor de Los Ángeles calcula los costes municipales de las protestas en respuesta a las violentas redadas de ICE y la militarización de nuestra ciudad.,@lacontroller,https://www.instagram.com/p/DKzzR-3JwgW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
13 personas detenidas por protestar contra Palantir.,@perfectunion,https://www.instagram.com/reel/DK-bT2Munca/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"«Si no nos enfrentamos a Peter Thiel, vendrán a por todos nosotros». Trece personas fueron detenidas en Los Ángeles por protestar contra Palantir. Los manifestantes rechazaban los algoritmos que vigilan y rastrean a los estadounidenses y permiten que los multimillonarios se beneficien de las redadas del ICE."
"‼️ACTUALIZACIÓN: La ciudad de Los Ángeles ha gastado hasta ahora 19,7 millones de dólares en respuesta a las protestas de junio contra ICE. Esto abarca una semana y media hasta el 16 de junio de 2025. (Esto no incluye posibles demandas o reclamaciones por responsabilidad civil).",@lacontroller,https://www.instagram.com/reel/DK_JaqGuihJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,El Contralor de la Ciudad de Los Ángeles informa sobre los costos de las protestas contra ICE en junio a la Ciudad de Los Ángeles.
Aliméntalo con cuerpos y verás cómo genera oro. ¿Quién se beneficia de los secuestros del ICE?,@consciousobservers,https://www.instagram.com/p/DLV8O80yyQ4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"Trump está utilizando el ICE para aumentar la capacidad de las prisiones hasta en un 360 %. Las empresas privadas de prisiones CoreCivic y GEO Group lo califican como una «oportunidad sin precedentes», ya que el precio de sus acciones se ha disparado."
El Tribunal Supremo concede a Trump una importante victoria y limita la capacidad de los jueces para bloquear la orden de ciudadanía por nacimiento en todo el país,Politico,https://www.politico.com/live-updates/2025/06/27/supreme-court-rulings-decisions-today-news-analysis/birthright-citizenship-nationwide-injunctions-00428839,Los jueces no resolvieron de manera definitiva la legalidad de la orden ejecutiva.
El Departamento de Justicia demanda a Los Ángeles por sus políticas de ciudad santuario. Explicación,LA Taco,https://www.instagram.com/reel/DLi7WR0vL7h/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"El Departamento de Justicia demanda a Los Ángeles alegando que sus políticas de ciudad santuario están impidiendo que el régimen de Trump libere a Los Ángeles de los inmigrantes. Pero, ¿qué son exactamente las políticas de ciudad santuario y cómo protegen a los inmigrantes del gobierno federal? ~ @el_tragon_de_los_angeles lo explica."
Hilda Solís se opone a las redadas federales de inmigración,LAist,https://www.instagram.com/reel/DLi98DfhVy_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"La supervisora del condado de Los Ángeles, Hilda Solís, afirma que esta semana presentará una moción para que los abogados del condado estudien la posibilidad de emprender acciones legales contra las prácticas inconstitucionales de control de la inmigración, entre las que se incluyen los registros y confiscaciones ilegales."
Grupos del sur de California demandan al DHS por los secuestros de ICE,@public_counsel,https://www.instagram.com/p/DLnmuLlhZbx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"«Residentes, trabajadores y grupos de defensa del sur de California han demandado al Departamento de Seguridad Nacional (DHS) ante un tribunal federal por secuestrar y desaparecer a miembros de la comunidad mediante prácticas ilegales de detención y arresto, y por confinar a personas en un edificio federal en condiciones ilegales, negándoles el acceso a abogados. La demanda alega que el DHS ha arrestado y detenido a personas de manera inconstitucional con el fin de cumplir con las cuotas de arrestos arbitrarios establecidas por la administración Trump. Desde el 6 de junio, el gobierno federal ha desplegado agentes de inmigración en las calles, los lugares de trabajo y los barrios de Los Ángeles y los condados circundantes, creando un cerco y una redada de inmigración en toda la región. La demanda señala que «uno de los patrones más claros que han surgido en las redadas en el sur de California [...] ha sido las detenciones e interrogatorios [...] basados en la raza y el origen étnico aparentes». Los agentes han estado secuestrando a personas en masa y llevándolas al sótano de un edificio federal en el centro de Los Ángeles, comúnmente conocido como «B-18», que carece de camas, duchas o instalaciones médicas. La instalación fue diseñada para albergar temporalmente a un pequeño número de personas para que pudieran ser procesadas y liberadas, o procesadas y trasladadas a un centro de detención de larga duración. Las redadas en curso han provocado la desaparición de más de 1500 personas. La demanda detalla cómo los agentes federales se niegan sistemáticamente a identificarse o a revelar a qué agencia pertenecen cuando se les pregunta, utilizando el anonimato como táctica para ocultar la ilegalidad. Las redadas en curso han provocado la desaparición de más de 1500 personas. La demanda detalla cómo los agentes federales se niegan sistemáticamente a identificarse o a revelar a qué agencia pertenecen cuando se les pregunta, utilizando el anonimato como táctica para ocultar la ilegalidad."
