Name,website,Rapid Response #,Address,Area,Organization Mission
Boyle Heights (L.A.),,323-805-1049,,Boyle Heights (L.A.),
La Red de Respuesta Rapida de Los Angeles ,,888-624-4752,,Los Angeles,"La Red de Respuesta Rápida ante Redadas en Los Ángeles (RRRN, por sus siglas en inglés) es una iniciativa conjunta entre organizaciones comunitarias, religiosas, de inmigrantes, laborales, legales y LGBTQI para proteger, defender y servir a la comunidad inmigrante del condado de Los Ángeles frente a la deportación. La RRRN se creó en 2006 como respuesta a las redadas masivas en fábricas y centros textiles de Los Ángeles. En la actualidad, la RRRN se centra en la defensa, la acción directa para cerrar los centros de detención y en poner en contacto a los inmigrantes que se enfrentan a la detención y la deportación con representación legal."
 Red de Respuesta rapida de Koreatown,,323-894-1504,,Koreatown,
órale,https://www.orale.org/,5622459575,,Long Beach,
Central Valley ,,559-206-0151,,Central Valley ,
Condado de Kern ,,661-432-2230,,condado de kern ,
condado de orange ,,714-881-1558,,Condado de Orange ,
San Bernardino/Riverside,,909-361-4588,,San Bernardino/Riverside,
Línea directa de respuesta rápida para inmigrantes,,805-870-8855,,"Santa Barbara, Ventura & San Luis Obispo",
Defensores de los inmigrantes,,213-833-8283,,,
Centro de Trabajadores Filipinos Emergencia relacionada con la inmigración,,820-777-4102,,Southern California,
